CNN-targeted D2 row drawn: spec_cnn_b100000
wrote fig_ber_vs_jsr.png, fig_pdet_vs_jsr.png, fig_frontier.png to ../artifacts/cgan/gan/run001
  noise (barrage)                    max BER 0.309
  matched QPSK / optimal (p=1)       max BER 0.443
  Amuru pulsed (p=0.1)               max BER 0.144
  genie flip (ceiling)               max BER 1.000
  plain GAN — D1 (run001)            max BER 0.435
  GAN eff, β=0 — D2                  max BER 0.404
  GAN vs power, β=1000 — D2          max BER 0.413
  GAN vs kurtosis, β=100 — D2        max BER 0.397
  GAN vs CNN, β=100000 — D2          max BER 0.433
  shaped control vs kurtosis — D2a   max BER 0.159
  shaped control vs CNN — D2a        max BER 0.158

Confirmed stealthy BER at alpha=0.05 (max BER with P(det) <= alpha, fresh frames)
jammer                   power (1-sided)    power (2-sided)           kurtosis    spectrogram CNN  max BER loud
noise                          0.00e+00           0.00e+00           0.00e+00           0.00e+00          0.309
pulsed_p1                      0.00e+00           0.00e+00!          0.00e+00           0.00e+00          0.443
pulsed_p0.1                    0.00e+00!          0.00e+00!          0.00e+00           0.00e+00          0.144
omniscient_e1                  1.00e+00           1.00e+00           1.00e+00           1.00e+00          1.000
eff                            0.00e+00           0.00e+00           4.29e-05           0.00e+00          0.404
kurtosis_b1                    0.00e+00           0.00e+00!          0.00e+00           0.00e+00          0.406
kurtosis_b10                   0.00e+00           0.00e+00           2.86e-05!          0.00e+00          0.404
kurtosis_b100                  0.00e+00           0.00e+00!          8.49e-05!          0.00e+00          0.397
kurtosis_b1000                 0.00e+00           0.00e+00           3.81e-06           0.00e+00!         0.402
plain_run001                   0.00e+00           0.00e+00!          0.00e+00           0.00e+00          0.435
power_one_sided_b1             0.00e+00           0.00e+00           4.01e-05           0.00e+00          0.403
power_one_sided_b10            0.00e+00           0.00e+00!          0.00e+00           0.00e+00          0.407
power_one_sided_b100           0.00e+00           0.00e+00!          3.34e-05           0.00e+00          0.404
power_one_sided_b1000          0.00e+00           0.00e+00           0.00e+00           0.00e+00!         0.413
power_two_sided_b1             0.00e+00           0.00e+00           0.00e+00           0.00e+00          0.412
power_two_sided_b10            0.00e+00           0.00e+00           1.81e-05!          0.00e+00          0.407
power_two_sided_b100           0.00e+00           0.00e+00!          3.15e-05           0.00e+00          0.404
power_two_sided_b1000          0.00e+00           0.00e+00!          0.00e+00           0.00e+00          0.415
spec_cnn_b1                    0.00e+00           0.00e+00!          2.57e-04!          0.00e+00          0.380
spec_cnn_b10                   0.00e+00           0.00e+00!          0.00e+00           0.00e+00          0.377
spec_cnn_b100                  0.00e+00           0.00e+00!          6.29e-05           0.00e+00          0.388
spec_cnn_b1000                 0.00e+00!          0.00e+00!          0.00e+00           0.00e+00          0.394
spec_cnn_b10000                0.00e+00           0.00e+00           0.00e+00           0.00e+00          0.425
spec_cnn_b100000               0.00e+00           0.00e+00           0.00e+00           0.00e+00          0.433
spec_cnn_b1e+06                0.00e+00           0.00e+00           0.00e+00           0.00e+00          0.432
  '--' = no point met the budget;  '!' = the confirmation pass missed the budget
